"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","socmarg","difcro2","rightmar2","diffvotensoc","diffturn","diffturnraw","turnrawfir","turnfir"
"667","1893","309",309,"Liberal",0.0498592096320031,4,0,0.401058355180115,-0.115011166132634,1,1,0.208679946211071,-0.00139494333042711,-40,20598,0.718326068003487
"668","1898","309",309,"Liberal",0.116510115606936,4,0.333333333333333,0.443415823699422,0.118993858381503,0,0,0.139995476792788,0.0766667714456354,2439,22144,0.696067645302235
"669","1903","309",309,"Liberal",0.0524941891650277,4,0.333333333333333,0.464902556767388,0.313749329519042,0,0,0.0793975022993576,0.0694475199291409,2509,27965,0.774053365810452
"670","1890","31",31,"Liberal",0.129965316405994,4,0,0.436751521497284,-0.0719848177475296,1,0,0.178643695923982,-0.036441079034548,-770,15281,0.72318977756744
"671","1893","31",31,"Liberal",0.0784352142110762,7,0,0.344174503657262,0.0806556948798328,1,0,0.222567033323325,-0.141107640438296,-2846,15312,0.759184887698944
"672","1898","31",31,"Liberal",0.15882444896045,5,0.125,0.442942004064405,0.117945912146319,1,1,0.230227552775672,-0.0179434092477571,-338,12794,0.679195200934331
"673","1903","31",31,"Liberal",0.0813304388277252,5,0,0.330748953326097,0.185455109319274,1,1,0.181262825967145,0.000342759211653831,6,12898,0.736818051985147
"674","1907","31",31,"Liberal",0.0775633749527053,6,0.2,0.459099508134695,0.30798335225123,1,1,0.174496085885761,-0.0310082279258258,-505,13215,0.811433132752057
"675","1912","31",31,"Liberal",0.0222202391575942,6,0,0.415580938782795,0.268873817597716,0,0,0.0791512435987898,0.00663832326396663,89,11206,0.835832028045051
"676","1912","31",31,"Liberal",0.122,4,0,0.486,0.255,0,0,0.053,NA,NA,NA,NA
"677","1890","310",310,"Conservative",0.0836080178173719,4,0.25,0.46195991091314,-0.270734966592428,0,0,0.0674014439124055,0.0756042824031493,2055,22450,0.825944593649976
"678","1893","310",310,"Liberal",0.118560991399242,4,0.25,0.389484879311939,-0.04203273837048,0,0,0.193245145697933,0.0412097629996463,1165,21626,0.764980544747082
"679","1898","310",310,"Conservative",0.047876631079478,4,0.4,0.33300118623962,0.0438908659549229,1,0,0.235432898459833,0.0773307874637872,2349,21075,0.693804319199368
"680","1903","310",310,"Conservative",0.0519581233036061,5,0.2,0.251105079488174,0.0872431174873982,1,0,0.273729543227377,0.0289365012867316,967,25790,0.771739780956371
"681","1907","310",310,"Conservative",0.0590166065451237,3,0,0.374670956420006,-0.00796204218257446,1,0,0.145097255500524,-0.0161523012078866,-571,30771,0.870442137421855
